CDR,Step.1,Step.2,Step.3,Step.4,Step.5,Step.6,Step.7,Step.8,Step.9,Step.10,Step.11,Step.12,Step.13,Step.14,Step.15,Step.16,Step.17,Step.18,Step.19,Step.20,Step.21,Step.22,Step.23,Step.24,Step.25,Step.26,Step.27,Step.28,Step.29,Step.30
F2.M47,0.87,0.76,0.71,0.75,0.80,0.82,0.83,0.80,0.79,0.81,0.83,0.84,0.82,0.83,0.82,0.83,0.83,0.85,0.85,0.85,0.88,0.88,0.88,0.88,0.88,0.90,0.95,0.98,1.00,0.11
F2.M48,0.87,0.85,0.85,0.84,0.86,0.86,0.86,0.86,0.84,0.83,0.84,0.84,0.84,0.84,0.85,0.86,0.86,0.85,0.85,0.88,0.90,0.89,0.88,0.89,0.88,0.90,0.95,0.96,0.99,0.11
F2.M49,0.87,0.77,0.71,0.76,0.80,0.79,0.80,0.77,0.77,0.81,0.84,0.84,0.84,0.83,0.84,0.85,0.87,0.88,0.87,0.90,0.93,0.92,0.90,0.93,0.93,0.95,0.97,0.98,0.99,0.11
F2.M50,0.87,0.77,0.72,0.77,0.82,0.82,0.81,0.80,0.79,0.80,0.83,0.83,0.82,0.81,0.82,0.85,0.84,0.85,0.85,0.85,0.87,0.86,0.87,0.88,0.87,0.92,0.95,0.97,0.99,0.11
F2.M51,0.84,0.79,0.79,0.80,0.82,0.84,0.85,0.82,0.83,0.85,0.86,0.85,0.85,0.87,0.87,0.84,0.85,0.86,0.87,0.88,0.88,0.88,0.88,0.90,0.89,0.92,0.94,0.96,0.98,0.11
F2.M52,0.87,0.77,0.74,0.77,0.83,0.82,0.80,0.80,0.78,0.79,0.83,0.82,0.80,0.79,0.82,0.84,0.82,0.84,0.84,0.86,0.87,0.87,0.86,0.87,0.87,0.92,0.94,0.96,0.99,0.11
F2.M53,0.87,0.76,0.72,0.76,0.82,0.83,0.81,0.79,0.78,0.81,0.82,0.80,0.80,0.79,0.82,0.83,0.81,0.83,0.81,0.84,0.87,0.87,0.86,0.87,0.88,0.89,0.93,0.97,0.99,0.11
F2.M54,0.87,0.77,0.75,0.80,0.81,0.81,0.81,0.79,0.78,0.82,0.85,0.82,0.82,0.81,0.83,0.84,0.85,0.86,0.87,0.90,0.92,0.91,0.92,0.93,0.93,0.93,0.96,0.97,0.99,0.11
F2.M55,0.87,0.85,0.85,0.85,0.86,0.86,0.86,0.85,0.83,0.83,0.83,0.84,0.83,0.83,0.84,0.86,0.85,0.84,0.85,0.88,0.89,0.88,0.88,0.89,0.88,0.90,0.95,0.96,0.99,0.11
F2.M56,0.87,0.85,0.83,0.84,0.86,0.83,0.82,0.82,0.80,0.81,0.80,0.80,0.81,0.80,0.84,0.83,0.82,0.83,0.84,0.86,0.88,0.87,0.84,0.85,0.87,0.89,0.94,0.96,0.98,0.11
F2.M57,0.71,0.59,0.61,0.72,0.76,0.79,0.79,0.78,0.80,0.82,0.83,0.84,0.81,0.84,0.84,0.84,0.84,0.84,0.84,0.87,0.88,0.89,0.89,0.90,0.89,0.91,0.96,0.99,1.00,0.11
F2.M58,0.87,0.86,0.84,0.84,0.86,0.86,0.86,0.86,0.83,0.83,0.84,0.84,0.84,0.84,0.85,0.86,0.86,0.86,0.86,0.88,0.90,0.89,0.88,0.89,0.88,0.90,0.95,0.96,0.99,0.11
F2.M59,0.71,0.59,0.60,0.64,0.66,0.69,0.71,0.71,0.72,0.76,0.78,0.78,0.79,0.79,0.80,0.82,0.84,0.88,0.89,0.92,0.94,0.95,0.95,0.95,0.95,0.97,0.99,0.99,1.00,0.11
F2.M60,0.71,0.59,0.60,0.64,0.66,0.69,0.72,0.71,0.71,0.73,0.75,0.74,0.75,0.76,0.78,0.78,0.80,0.81,0.80,0.84,0.84,0.84,0.86,0.87,0.89,0.92,0.95,0.98,1.00,0.11
F2.M61,0.72,0.71,0.71,0.75,0.74,0.75,0.76,0.77,0.78,0.81,0.82,0.81,0.79,0.82,0.82,0.83,0.83,0.84,0.82,0.84,0.85,0.87,0.88,0.88,0.89,0.93,0.94,0.97,1.00,0.11
F2.M62,0.71,0.60,0.62,0.68,0.70,0.73,0.75,0.73,0.74,0.77,0.76,0.79,0.78,0.76,0.78,0.81,0.84,0.84,0.83,0.84,0.85,0.87,0.87,0.88,0.91,0.93,0.96,0.98,1.00,0.11
F2.M63,0.77,0.72,0.68,0.70,0.71,0.72,0.72,0.72,0.75,0.78,0.78,0.79,0.75,0.76,0.78,0.79,0.80,0.85,0.83,0.85,0.86,0.85,0.86,0.87,0.90,0.93,0.97,0.99,1.00,0.11
F2.M64,0.71,0.65,0.69,0.72,0.71,0.71,0.73,0.74,0.73,0.77,0.78,0.77,0.78,0.80,0.83,0.85,0.86,0.87,0.87,0.90,0.92,0.95,0.96,0.96,0.96,0.98,0.98,0.99,1.00,0.11
F2.M65,0.87,0.86,0.84,0.84,0.86,0.86,0.86,0.85,0.83,0.82,0.83,0.84,0.83,0.84,0.84,0.86,0.85,0.85,0.85,0.87,0.89,0.88,0.88,0.89,0.88,0.91,0.95,0.96,0.99,0.11
F2.M66,0.87,0.77,0.72,0.77,0.81,0.82,0.81,0.80,0.81,0.80,0.83,0.81,0.81,0.81,0.82,0.84,0.83,0.85,0.85,0.85,0.88,0.88,0.87,0.88,0.89,0.91,0.95,0.98,0.99,0.11
F2.M67,0.87,0.84,0.82,0.84,0.87,0.85,0.82,0.82,0.80,0.79,0.78,0.80,0.80,0.79,0.82,0.81,0.81,0.82,0.83,0.84,0.86,0.87,0.86,0.86,0.88,0.89,0.94,0.95,0.97,0.11
F2.M68,0.71,0.59,0.62,0.69,0.71,0.74,0.77,0.73,0.75,0.77,0.80,0.82,0.78,0.80,0.79,0.81,0.81,0.83,0.84,0.85,0.86,0.87,0.87,0.88,0.89,0.91,0.95,0.99,1.00,0.11
F2.M69,0.87,0.86,0.84,0.84,0.86,0.87,0.86,0.85,0.83,0.82,0.84,0.84,0.84,0.84,0.85,0.86,0.86,0.86,0.86,0.87,0.90,0.89,0.88,0.89,0.88,0.90,0.95,0.96,0.99,0.11
F2.M70,0.71,0.59,0.59,0.64,0.67,0.70,0.71,0.71,0.72,0.75,0.77,0.80,0.79,0.80,0.80,0.83,0.84,0.88,0.88,0.91,0.94,0.96,0.95,0.95,0.95,0.97,0.99,0.99,1.00,0.11
